Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : Régions (2016); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de pauvreté des ménages dont le référent fiscal a moins de 30 ans (%) 2020;Nombre de familles monoparentales 2021;Nombre de 15-29 ans 2021;PIB régional par habitant 2021;Nombre d'inactifs de 15-64 ans 2021;Nombre de personnes en âge de travailler (15-64 ans) 2021;Quartiers prioritaires de la politique de la ville 2024 : Nombre de QPV sur le territoire (France métropolitaine);Taux de chômage des 15-64 ans (RP) 2021;Taux de chômage des 15-24 ans (RP) 2021;Taux d'emploi des 15-64 ans 2021;Taux d'emploi des 15-24 ans 2021;Régionales - Taux de participation au 1er tour 2021;Taux de scolarisation 2021;Taux de scolarisation 2021;Taux de scolarisation 2021;Part des "autres sans activité professionnelle" dans la population 2021;Nombre d'actifs occupés de 15-64 ans 2021;Taille moyenne des ménages des résidences principales HLM louées vides 2021;Densité de population 2021
01;Guadeloupe;;45988;61901;;70755;239325;;26.4;44.8;51.8;18.2;30.8;45.9;5.7;0.8;25.2;124069;2.2;236.02
02;Martinique;45.2;43419;54797;;63285;224361;;20.7;43.4;56.9;18.7;32.5;45;5.9;0.7;22.4;127672;2.2;319.87
03;Guyane;;30558;66233;;63999;177523;;31;52.9;44.1;16.3;34.8;33.5;6;1.4;44.6;78298;3.2;3.43
04;La Réunion;50.6;81948;167369;;176086;566847;;30.1;47.4;48.2;20.5;36.5;40.4;5.5;0.9;30.3;272982;2.6;347.96
06;Mayotte;;;;;;;;;;;;;;;;;;;
11;Île-de-France;19.3;644100;2473843;61417;1900240;8084986;298;11.4;22.1;67.7;29.4;30.8;61.4;12.2;1.6;18.6;5476683;2.5;1025.31
24;Centre-Val de Loire;21.4;106112;411681;30225;375301;1536965;57;11.5;23.6;66.9;34;32.7;45.7;6.3;0.8;14.3;1028300;2.2;65.73
27;Bourgogne-Franche-Comté;20.6;114675;450967;29085;420866;1675799;62;10.8;20.9;66.8;36;34.9;45.7;6.8;0.8;14.8;1119359;2.1;58.6
28;Normandie;21.7;142152;559459;30307;519103;2014953;63;11.8;23.7;65.5;34.3;33;47.6;7;0.8;15.4;1318818;2.1;111.4
32;Hauts-de-France;28.3;290738;1100179;29090;1041765;3748438;204;14.8;30;61.5;29.1;32.8;48.9;6.8;0.8;19.5;2305431;2.3;188.49
44;Grand Est;24.2;244158;969267;30022;894988;3477393;123;12;23.3;65.4;33.4;29.6;49.3;7.8;0.9;16.9;2273188;2.2;96.83
52;Pays de la Loire;17.5;137240;656664;32711;548898;2341989;48;9.8;19.2;69.1;36.5;30.7;49.3;6.6;0.8;13.6;1617333;2.1;120.13
53;Bretagne;20.2;127132;555149;31192;520869;2046631;31;10.1;20.2;67;33.1;35.8;52.6;8.1;0.8;14.5;1371723;1.9;124.77
75;Nouvelle-Aquitaine;22.6;260699;957138;31075;905690;3636976;83;11.2;23.1;66.7;33.1;36;49.3;8.1;0.8;14.5;2424135;2.1;72.22
76;Occitanie;27.2;289829;1010814;30316;966056;3652008;108;13.2;26.6;63.8;29.3;37.2;53.5;9.5;1;17.3;2330228;2.3;82.81
84;Auvergne-Rhône-Alpes;20.3;337176;1421291;35517;1200108;5019004;145;10.3;20.1;68.2;34.3;32.6;52;8.2;1;15.7;3424051;2.3;116.4
93;Provence-Alpes-Côte d'Azur;24.9;268846;816754;37255;829599;3081403;135;12.6;25.3;63.9;29.5;33.7;50.9;8.6;1;18.3;1968575;2.4;163.3
94;Corse;23.8;20063;50827;29059;57544;210589;5;10.3;22.9;65.2;30.7;57.1;43.2;4.8;0.6;20.1;137206;2.4;40.05
